202

142, 0, 2
117, 2, 0
86, 3, 0
109, 14, 2
124, 6, 1
130, 3, 2
97, 0, 0
164, 8, 0
4, 10, 2
104, 1, 2
150, 12, 1
68, 7, 2
35, 3, 2
121, 9, 2
452, 2, 0
5, 3, 0
144, 3, 1
210, 8, 2
11, 5, 1
139, 4, 1
187, 0, 1
207, 7, 1
35, 9, 1
153, 9, 2
115, 18, 1
59, 3, 0
33, 3, 1
18, 5, 0
91, 2, 0
52, 4, 2
216, 12, 2
175, 4, 1
8, 1, 0
223, 10, 0
134, 8, 0
2, 5, 2
13, 9, 2
56, 8, 2
134, 4, 2
139, 1, 2
27, 6, 2
16, 11, 2
232, 12, 0
20, 3, 0
85, 17, 2
94, 5, 0
181, 5, 0
46, 4, 2
7, 6, 1
216, 5, 0
200, 5, 0
187, 6, 1
124, 5, 1
